peso_inibitorio,spikes_totais,pico_spikes,timesteps_ativos,media_spikes,primeiro_recrutamento,ultimo_timestep_ativo,neuronios_ativos
-250.00,14340,20,719,14.34,282,999,20
-275.00,14340,20,719,14.34,282,999,20
-300.00,14340,20,719,14.34,282,999,20
-325.00,14340,20,719,14.34,282,999,20
-350.00,8615,17,719,8.62,282,999,20
-375.00,159,17,17,0.16,282,301,20
-400.00,14320,20,719,14.32,282,999,20
-425.00,31,17,5,0.03,282,288,20
-450.00,31,17,5,0.03,282,289,20
-475.00,31,17,5,0.03,282,290,20
-500.00,31,17,5,0.03,282,292,20
